id,created_at,text
859616922190700545,2017-05-03 03:53:39,"b'RT @TomBodett: The wife and I came up with an agreement to fund the household until Sept, avoiding a shutdown. The solution: keep working a\xe2\x80\xa6'"
856155195440586752,2017-04-23 14:37:59,"b'@jchaltiwanger Meanwhile, they push Christian Sharia upon everyone else'"
856155015794360320,2017-04-23 14:37:17,"b""RT @dog_rates: Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet hab\xe2\x80\xa6"""
856154841504206849,2017-04-23 14:36:35,"b'RT @mbeckler: ""This march would be twice as big if the control group didn\'t have to stay home""'"
855479208033824768,2017-04-21 17:51:51,"b'@tedlieu I hold that position and want to get paid for it,  where do I sign up?'"
853451090540494849,2017-04-16 03:32:50,"b'@TomBodett Next year, there will be a visible sliver labeled ""45\'s trips to Mar-A-Lago""'"
852532782731538432,2017-04-13 14:43:49,b'@emkaymitty @Hermetiaillucen @GeorgeTakei Every other passenger on the plane except two refused to take offers. He\xe2\x80\xa6 https://t.co/tiq4yTkfRL'
847079439062241280,2017-03-29 13:34:10,b'@jchaltiwanger I think we should move her outside the whitehouse.'
847078819123134464,2017-03-29 13:31:43,"b""RT @paulapoundstone: I've been going on websites, and looking up stuff that I don't care about in order to throw marketing profilers off my\xe2\x80\xa6"""
843302119495077893,2017-03-19 03:24:27,"b'RT @SwedishCanary: One day I want a woman to look at me and say, ""that\'s him, he\'s the one"" and not follow it by, ""who ate all the donuts""'"
842903974667833345,2017-03-18 01:02:22,"b""I just earned the 'Riding Steady' badge on @untappd! https://t.co/XpAvmNnG7x"""
842903831121985540,2017-03-18 01:01:48,"b""I just earned the 'St. Patrick's Day (2017)' badge on @untappd! https://t.co/APsbNSHdyC #stpaddy"""
835524707722100736,2017-02-25 16:19:48,"b'@petersagal looks more like, ""Damnit, stymied again!""'"
831301650031706113,2017-02-14 00:38:52,"b'@ASchreiber when you figure it out, let me know!'"
830588394002587648,2017-02-12 01:24:39,"b""I just earned the 'Fields of Gold' badge on @untappd! https://t.co/9KSESOE9wi"""
830588227790729216,2017-02-12 01:23:59,"b""I just earned the 'Land of the Free  (Level 19)' badge on @untappd! https://t.co/rXV8UWGOek"""
830588222807867393,2017-02-12 01:23:58,"b""I just earned the 'Bar Explorer (Level 12)' badge on @untappd! https://t.co/ZzKJkKfaOi"""
830588218135412741,2017-02-12 01:23:57,"b""I just earned the 'Artisan' badge on @untappd! https://t.co/88uCyIyq3N"""
827180825934434304,2017-02-02 15:44:11,b'RT @NPRinskeep: Worth reading these 19 tweets from an outstanding reporter. https://t.co/c2rvOuYDe6'
826215340849917952,2017-01-30 23:47:42,"b'RT @AP: BREAKING: Acting attorney general says Justice Department, under her watch, will not defend refugee executive order in court.'"
826211528613433344,2017-01-30 23:32:33,b'RT @danWorthington: Read the words on the ticker. https://t.co/BkFf97Qa5W'
826209760378773507,2017-01-30 23:25:31,"b'RT @RoguePOTUSStaff: Suspicion that Bannon urging POTUS to egg on protests, then call in National Guard to disperse, as demonstration of po\xe2\x80\xa6'"
826208853066907652,2017-01-30 23:21:55,"b'RT @SenSanders: On virtually every major issue, Trump represents a minority of Americans. Our job now is to bring the majority together and\xe2\x80\xa6'"
826208569204830210,2017-01-30 23:20:47,b'RT @AltYelloNatPark: Please take the time to read this important message. https://t.co/esMxhKlWiB'
825677141832585216,2017-01-29 12:09:05,b'@morninggloria @KyrieMeMo only if their mother was native-born. #45 hates anchor babies too'
825447131423109122,2017-01-28 20:55:06,"b""I just earned the 'Wheel of Styles (Level 2)' badge on @untappd! https://t.co/R7JycxqRpn"""
825447122166247425,2017-01-28 20:55:04,"b""I just earned the 'Photogenic Brew (Level 2)' badge on @untappd! https://t.co/jp3kMHHYlf"""
824941770421182466,2017-01-27 11:26:59,"b'RT @VicenteFoxQue: @ajplus @DeniseDresserG trump, I want to see your tax returns\xc2\xa1\xc2\xa1 Maybe not paying taxes will be enough for you to pay the\xe2\x80\xa6'"
824941656067678208,2017-01-27 11:26:32,"b""RT @VicenteFoxQue: @realDonaldTrump, M\xc3\xa9xico won't pay for your wall. You say that America won't neither. Then who's left? It's you and your\xe2\x80\xa6"""
824941482670964740,2017-01-27 11:25:50,"b""RT @VicenteFoxQue: @realDonaldTrump's ego monument real cost is around 25 billion USD. I ask you, America, what would you prefer instead of\xe2\x80\xa6"""
824734475309449217,2017-01-26 21:43:16,"b""RT @matthaig1: Donald Trump thinks all Muslims should apologise for terrorism. So on behalf of non-Muslim people I'd like to apologise for\xe2\x80\xa6"""
824349901018505217,2017-01-25 20:15:06,"b'RT @amyharvard_: Damn, Anne Frank Center went at it. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf #NoBanNoWall https://t.co/trkPu7mWp5'"
824343973619781638,2017-01-25 19:51:33,"b'RT @WhySharksMatter: Trump officials suspend plan to delete EPA climate web pages https://t.co/yFpANQhpzH ""Reversal comes after media atten\xe2\x80\xa6'"
824291005679759360,2017-01-25 16:21:04,"b""@MikeDrucker @LordSteve wouldn't it be hilarious if it invalidated his own election?"""
824280607043842051,2017-01-25 15:39:45,"b'@eevblog if power was off and they fully dry, why not?'"
824278791589658624,2017-01-25 15:32:32,"b""@jchaltiwanger I oppose Trump; but I didn't lose https://t.co/pFOn24h8sW"""
824269827997106177,2017-01-25 14:56:55,b'@jchaltiwanger God forbid the VA should try to hire doctors to reduce delays #trumpsterfire'
820500741068648449,2017-01-15 05:19:55,"b'RT @GeorgeTakei: If you or a loved one loses insurance coverage after they repeal the Affordable Care Act, remember that in 2018--and vote\xe2\x80\xa6'"
816394661468246016,2017-01-03 21:23:49,"b""@fryselectronics your Promocode emails R blowing up my inbox. Unsubscribe Doesn't work! 3-7 emails. A Day! And your support email-useless!"""
812685739985092609,2016-12-24 15:45:54,b'RT @AstroKatie: Want to help prevent global nuclear catastrophe? Go here and find out how to stop funding it: https://t.co/j6A0tGnwQe'
809727823720120320,2016-12-16 11:52:11,b'@SwedishCanary send them to DC'
809554166326693888,2016-12-16 00:22:08,b'@jchaltiwanger what about 1929?'
800092910578532353,2016-11-19 21:46:29,"b""I just earned the 'Crisp as Day' badge on @untappd! https://t.co/VDmHI3MFAA"""
800092905318846465,2016-11-19 21:46:28,"b""I just earned the 'Cheers To You! (Level 3)' badge on @untappd! https://t.co/aMvZt0UrU3"""
798497364076072964,2016-11-15 12:06:21,"b'@jchaltiwanger @washingtonpost yet, Trump called for protests in November, 2012 when Obama won..'"
793041379286982656,2016-10-31 10:46:13,b'RT @AstroKatie: Look I have studied advanced quantum field theory; calling me stupid for my political opinions on Twitter is significantly\xe2\x80\xa6'
792485826986999813,2016-10-29 21:58:39,"b""I just earned the 'Witch's Brew (2016)' badge on @untappd! https://t.co/czq4Hbpz0m #trickorbrew"""
791468069554102272,2016-10-27 02:34:27,"b""I just earned the 'Wheel of Styles' badge on @untappd! https://t.co/kje1lEq3HX"""
791468064688730112,2016-10-27 02:34:26,"b""I just earned the 'Land of the Free  (Level 18)' badge on @untappd! https://t.co/GNFI4pQlbk"""
790354877117530112,2016-10-24 00:51:01,"b""@TAUTIC so, that's where missing socks go....."""
785805408971595776,2016-10-11 11:33:03,"b'@AstroKatie @jameswest2010 he has no substance, so all he can do is intimidate her. Try to wreck her game'"
785327462062383104,2016-10-10 03:53:52,b'RT @oshpark: The PiAQ: Open Source Indoor Air Quality Sensor for @Raspberry_Pi by @CRTLabs \nhttps://t.co/TecLBAijcx cc @science_hackPDX via\xe2\x80\xa6'
785239971066155008,2016-10-09 22:06:12,"b""I just earned the 'I Believe in IPA!' badge on @untappd! https://t.co/N4OvmmTrUU #ibelieveinIPA"""
783126751845158912,2016-10-04 02:09:02,"b'RT @SwedishCanary: Sometimes Google should just come back with a message that says ""trust me, you don\'t want to know.""'"
775175829001269249,2016-09-12 03:34:54,b'@StartupMonkey there are Bluetooth versions. Even square has BT for the pin and chip version'
774982773140512768,2016-09-11 14:47:46,"b'@mybookbucket @NPRinskeep there\'s a difference between broad brushing ""half the voters"" and attacking specific instances #askmittromney'"
774964444233338880,2016-09-11 13:34:56,b'@waitwait except the four and a half other people who wanted brownies'
774960864927551488,2016-09-11 13:20:42,b'@mybookbucket @NPRinskeep better to let his supporters prove their actions than stoop to their level'
767339165151334400,2016-08-21 12:34:48,b'RT @YeardleySmith: Ep. 5 of #TheDailyRant VLOG. https://t.co/oRzZCDcfO6  Id like to say thanks to the guy @ Whole Foods for supplying today\xe2\x80\xa6'
766717815713849344,2016-08-19 19:25:46,b'@pdp7 @sync_channel kapton tape https://t.co/etMEnCmrHq'
766716154538823680,2016-08-19 19:19:10,"b'@pdp7 @sync_channel also, use kapton tape to protect surrounding components when doing rework. Borrow from 3d printer supplies or roll of 3m'"
766715708084551680,2016-08-19 19:17:24,"b'@pdp7 @sync_channel fwiw, I use solder mask cutout from @OSHStencils and hot air pencil. Much quicker for rework of those connectors'"
766715148602077184,2016-08-19 19:15:10,b'@pdp7 @sync_channel easy-peasy with the S4.'
766714126651523078,2016-08-19 19:11:07,"b""@pdp7 @sync_channel I tried T18-BL for fine pitch, but it seemed to not dump enough heat to the pins and couldn't get good solder flow. -S4&gt;"""
766713505168973825,2016-08-19 19:08:39,b'@pdp7 @sync_channel I also use the T18-C5 when soldering heavy duty heat sinks or tinning low awg cables. Seems to do magic for those tasks'
766705363521593344,2016-08-19 18:36:18,b'@sync_channel @pdp7 my favorite tip is the T18-S4. Shorter tip stays hot. Precision snub point better for 0204 and touching up QFN pads'
766704062247165956,2016-08-19 18:31:07,b'@pdp7 I use the same thing at work. Great iron for little green @HakkoUSA and #fx888d uses the same tips as 936.'
750532189125767168,2016-07-06 03:29:52,"b""I just earned the 'Lager Jack' badge on @untappd! https://t.co/0jKTuRvzbq"""
750532184256159746,2016-07-06 03:29:51,"b""I just earned the 'Bar Explorer (Level 11)' badge on @untappd! https://t.co/Kiz7Bra5nX"""
746664407426539520,2016-06-25 11:20:41,"b""@_kieranp @benrileysmith you obviously don't understand the poll results."""
733497013103435777,2016-05-20 03:18:10,"b'RT @AccordionGuy: The Trump campaign, in \xe2\x80\x9cStar Trek\xe2\x80\x9d terms:\nhttps://t.co/HZM0vyVYSL https://t.co/b3ZmauzIrA'"
732794573462863872,2016-05-18 04:46:55,b'RT @SwedishCanary: iPhone 7 is coming out in August If you want a sneak peek of the new iPhone take a look at your current iPhone and prete\xe2\x80\xa6'
731575779373555712,2016-05-14 20:03:52,"b""I just earned the 'Land of the Free  (Level 17)' badge on @untappd! https://t.co/CjFuhBFJi0"""
729880524953628672,2016-05-10 03:47:32,"b""RT @netik: Stop the language arguments. I don't care if your code is written in cuneiform. If it's bug free and works, #shipit https://t.co\xe2\x80\xa6"""
724064067363725312,2016-04-24 02:35:00,"b""I just earned the 'Brew Crawl' badge on @untappd! https://t.co/ZxOON91FA5"""
723925242880659457,2016-04-23 17:23:22,"b""I just earned the 'Bar Explorer (Level 10)' badge on @untappd! https://t.co/O3IB94g3dX"""
723925233695113217,2016-04-23 17:23:20,"b""I just earned the 'NC Beer Month (2016)' badge on @untappd! https://t.co/k0GNtFMWVt #NCBeerMonth"""
721173719184515076,2016-04-16 03:09:48,"b'@FozzTexx my beagles do the same, but much higher in pitch.'"
719361546669989888,2016-04-11 03:08:52,"b'@TAUTIC I also have used Ziplock bags on my iPad during car repairs.  No worry about grease getting all over it, no bulky manuals.'"
719361270764474369,2016-04-11 03:07:46,"b'@TAUTIC the Lifeproof cases have a soft plastic membrane over the fingerprint sensor, the phone is fully waterproof to a few feet deep..'"
715685178945970176,2016-03-31 23:40:18,"b""I just earned the 'Land of the Free  (Level 16)' badge on @untappd! https://t.co/Dz7vKjKUyR"""
715319794745090048,2016-03-30 23:28:23,"b""I just earned the 'Pale as the Moon (Level 2)' badge on @untappd! https://t.co/56YdBBFRfn"""
715319789829414912,2016-03-30 23:28:22,"b""I just earned the 'Taste Crazy' badge on @untappd! https://t.co/Ec0sA8otg8"""
715310850257629186,2016-03-30 22:52:51,"b""I just earned the 'Land of the Free  (Level 15)' badge on @untappd! https://t.co/6D3g8PtdeZ"""
715310845765554176,2016-03-30 22:52:50,"b""I just earned the 'Find the Source (Level 3)' badge on @untappd! https://t.co/dBNBPXljla"""
710546395187380224,2016-03-17 19:20:36,b'@element14 hand soldered every component with my trusty Hakko 936 using t15 tip. 0402 caps and resistors are a pain! https://t.co/vgbYCSbLNx'
710489308457779202,2016-03-17 15:33:46,b'@PumpingStation1 Tampa-bay based hacker in Chicago for 18hrs.  Is PS1 open for a visit?'
708456298036269056,2016-03-12 00:55:18,b'RT @SwedishCanary: I love this time of year... my car clock will finally be right again on Sunday.'
706347264634130432,2016-03-06 05:14:45,"b'@FozzTexx just an FYI, people can map and print a key from a picture, so be careful what keys you show.'"
705474359247314944,2016-03-03 19:26:08,"b""RT @elisewho: I like that Mitt Romney's back in the news so that we can share this again... #love https://t.co/6Yv9CdbBsz"""
705241700592185344,2016-03-03 04:01:38,"b""I just earned the 'Bar Explorer (Level 9)' badge on @untappd! https://t.co/sgKeDaqm9z"""
704519606480801792,2016-03-01 04:12:18,"b""I just earned the 'Leap Beer (2016)' badge on @untappd! https://t.co/JJFntKYiOx #leapyear"""
703420055300775936,2016-02-27 03:23:04,"b""I just earned the 'Land of the Free  (Level 14)' badge on @untappd! https://t.co/2gqXVt6Fpu"""
699391096993013760,2016-02-16 00:33:26,"b""I just earned the 'Heavy Weight (Level 2)' badge on @untappd! https://t.co/ySq0IY20df"""
695801909924532224,2016-02-06 02:51:17,"b""I just earned the 'Land of the Free  (Level 13)' badge on @untappd! https://t.co/L1FS1pArlc"""
695801903675023360,2016-02-06 02:51:15,"b""I just earned the 'Drinking Your Paycheck' badge on @untappd! https://t.co/riS5EOCwHP"""
694390858569928705,2016-02-02 05:24:16,"b""RT @clayaiken: Hey @realDonaldTrump, remember that time you made me come in 2nd place? Doesn't feel good does it? \xf0\x9f\x98\x89 I do still love ya, but\xe2\x80\xa6"""
